acpilight 1.2-3
anki-bin 25.09.2-1
base 3-2
base-devel 1-2
bluez 5.84-1
bluez-utils 5.84-1
brave-bin 1:1.84.132-1
btop 1.4.5-1
bubblewrap 0.11.0-1
clang 21.1.4-2
cliphist 1:0.7.0-1
cloudflare-warp-bin 2025.8.779-1
cowsay 3.8.4-1
cppcheck 2.18.3-1
cups 2:2.4.14-1
dosfstools 4.2-5
efibootmgr 18-3
epson-inkjet-printer-escpr 1.8.6-1
fd 10.3.0-1
foot 1.25.0-1
fortune-mod 3.24.0-1
freerdp 2:3.17.2-4
fzf 0.66.1-1
geforcenow-electron 2.2.0-1
gemini-cli 1:0.11.3-1
ghostmirror 0.18.2-1
git 2.51.2-2
github-cli 2.83.0-1
gnome-themes-extra 3.28+r6+g45b1d457-4
grim 1.5.0-2
helium-browser-bin 0.6.2.1-1
impala 0.4.1-1
imv 4.5.0-6
intel-media-driver 25.3.4-1
iwd 3.10-1
kdeconnect 25.08.2-2
lazygit 0.56.0-1
libpulse 17.0+r88+geee0e8f22-1
libqalculate 5.8.1-1
libva-utils 2.22.0-1
libvdpau-va-gl 0.4.2-4
linux 6.17.7.arch1-1
linux-firmware 20251021-1
lxappearance 0.6.4-2
mako 1.10.0-1
man-db 2.13.1-1
mesa-utils 9.0.0-7
moreutils 0.70-1
nasm 3.01-1
neovim 0.11.5-1
nix 2.32.2-2
noto-fonts-emoji 1:2.051-1
nss-mdns 0.15.1-2
obsidian 1.9.14-1
onlyoffice-bin 9.1.0-1
openssh 10.2p1-2
pacman-contrib 1.13.0-1
parsec-bin 150_97c-1
paru 2.1.0-1
paru-debug 2.0.4-1
pass-secret-service 0.5.1-3
pavucontrol 1:6.2-1
pipewire-alsa 1:1.4.9-1
pipewire-jack 1:1.4.9-1
pipewire-pulse 1:1.4.9-1
playerctl 2.4.1-4
radare2 5.9.8-1
ripgrep 15.1.0-1
rust 1:1.91.0-1
samba 2:4.23.2-1
slurp 1.5.0-1
starship 1.24.0-1
stow 2.4.1-1
sudo 1.9.17.p2-1
system-config-printer 1.5.18-5
tailscale 1.90.6-1
thunderbird 144.0.1-1
tldr 3.4.3-2
ttf-firacode-nerd 3.4.0-1
unzip 6.0-23
valgrind 3.25.1-3
vesktop 1.6.1-1
vim 9.1.1841-1
vulkan-intel 1:25.2.6-1
wayland-protocols 1.45-1
waylock 1.5.0-2
wbg 1.3.0-1
wget 1.25.0-2
wl-clipboard 1:2.2.1-3
wlroots0.19 0.19.2-1
xdg-desktop-portal 1.20.3-2
xdg-desktop-portal-wlr 0.8.0-1
xorg-xwayland 24.1.9-1
yazi 25.5.31-2
zathura-pdf-mupdf 0.4.6-1
zed 0.210.4-1
zip 3.0-11
zoxide 0.9.8-2
zsh 5.9-5
